"Geographic Area Name","50 or more (2021)","MoE"
"Bellevue city, Washington","13,526","± 1,812"
"Bellingham city, Washington","4,261","± 1,052"
"Everett city, Washington","5,345","± 1,352"
"Federal Way city, Washington","2,228","± 827"
"Kennewick city, Washington","1,703","± 660"
"Kent city, Washington","3,563","± 990"
"Kirkland city, Washington","4,363","± 1,138"
"Marysville city, Washington","928","± 508"
"Pasco city, Washington","633","± 633"
"Redmond city, Washington","9,318","± 1,783"
"Renton city, Washington","4,983","± 1,152"
"Sammamish city, Washington","485","± 441"
"Seattle city, Washington","93,808","± 5,258"
"South Hill CDP, Washington","735","± 411"
"Spokane city, Washington","6,720","± 1,184"
"Spokane Valley city, Washington","4,023","± 1,185"
"Tacoma city, Washington","10,177","± 1,481"
"Vancouver city, Washington","9,897","± 1,538"
"Yakima city, Washington","1,313","± 603"
"Appleton city, Wisconsin","1,086","± 513"
"Eau Claire city, Wisconsin","1,381","± 445"
"Green Bay city, Wisconsin","1,847","± 814"
"Janesville city, Wisconsin","829","± 351"
"Kenosha city, Wisconsin","1,697","± 613"
"Madison city, Wisconsin","19,956","± 2,473"
"Milwaukee city, Wisconsin","24,500","± 1,932"
"Oshkosh city, Wisconsin","1,206","± 431"
"Racine city, Wisconsin","1,481","± 517"
"Waukesha city, Wisconsin","2,350","± 829"
"Cheyenne city, Wyoming","829","± 500"
"Bayamón zona urbana, Puerto Rico","3,601","± 827"
"Caguas zona urbana, Puerto Rico","907","± 472"
"Carolina zona urbana, Puerto Rico","8,559","± 1,260"
"Guaynabo zona urbana, Puerto Rico","4,255","± 903"
"Ponce zona urbana, Puerto Rico","1,379","± 537"
"San Juan zona urbana, Puerto Rico","29,437","± 2,420"
