"Geographic Area Name","20 to 49 (2021)","MoE"
"Baytown city, Texas","1,451","± 728"
"Beaumont city, Texas","1,142","± 624"
"Brownsville city, Texas","2,089","± 779"
"Bryan city, Texas","864","± 595"
"Carrollton city, Texas","2,410","± 1,009"
"Cedar Park city, Texas","1,454","± 772"
"College Station city, Texas","2,522","± 986"
"Conroe city, Texas","3,234","± 2,013"
"Corpus Christi city, Texas","3,203","± 1,133"
"Dallas city, Texas","47,920","± 4,867"
"Denton city, Texas","4,195","± 1,322"
"Edinburg city, Texas","0","± 249"
"El Paso city, Texas","6,353","± 1,530"
"Fort Worth city, Texas","16,507","± 3,282"
"Frisco city, Texas","3,448","± 1,238"
"Garland city, Texas","2,201","± 822"
"Georgetown city, Texas","976","± 717"
"Grand Prairie city, Texas","2,355","± 1,069"
"Harlingen city, Texas","398","± 339"
"Houston city, Texas","79,491","± 5,980"
"Irving city, Texas","7,025","± 1,955"
"Killeen city, Texas","1,224","± 537"
"Laredo city, Texas","1,211","± 605"
"League City city, Texas","3,001","± 1,976"
"Leander city, Texas","1,035","± 735"
"Lewisville city, Texas","5,921","± 1,378"
"Longview city, Texas","1,705","± 644"
"Lubbock city, Texas","3,137","± 990"
"McAllen city, Texas","1,646","± 852"
"McKinney city, Texas","2,284","± 1,103"
"Mansfield city, Texas","1,160","± 618"
"Mesquite city, Texas","2,311","± 1,173"
"Midland city, Texas","1,338","± 1,045"
"Mission city, Texas","278","± 352"
"New Braunfels city, Texas","2,422","± 1,406"
"North Richland Hills city, Texas","1,065","± 716"
"Odessa city, Texas","1,330","± 1,147"
"Pasadena city, Texas","3,383","± 1,511"
"Pearland city, Texas","462","± 713"
"Pflugerville city, Texas","691","± 754"
"Pharr city, Texas","171","± 286"
"Plano city, Texas","3,728","± 1,374"
"Richardson city, Texas","3,013","± 1,003"
"Round Rock city, Texas","6,177","± 2,181"
"San Angelo city, Texas","1,326","± 563"
"San Antonio city, Texas","32,766","± 3,995"
"San Marcos city, Texas","4,165","± 1,626"
"Sugar Land city, Texas","475","± 428"
"Temple city, Texas","769","± 484"
"The Woodlands CDP, Texas","2,208","± 1,130"
"Tyler city, Texas","1,908","± 1,003"
"Victoria city, Texas","990","± 581"
"Waco city, Texas","2,465","± 1,060"
"Wichita Falls city, Texas","515","± 300"
"Layton city, Utah","1,661","± 788"
"Lehi city, Utah","219","± 171"
"Ogden city, Utah","1,571","± 624"
"Orem city, Utah","857","± 486"
"Provo city, Utah","2,600","± 732"
"St. George city, Utah","1,776","± 1,158"
"Salt Lake City city, Utah","10,734","± 1,701"
"Sandy city, Utah","1,337","± 737"
"West Jordan city, Utah","1,394","± 1,316"
"West Valley City city, Utah","1,971","± 1,019"
"Alexandria city, Virginia","4,214","± 1,059"
"Arlington CDP, Virginia","5,476","± 1,260"
"Centreville CDP, Virginia","271","± 220"
"Chesapeake city, Virginia","2,393","± 1,197"
"Hampton city, Virginia","737","± 462"
"Lynchburg city, Virginia","1,806","± 772"
"Newport News city, Virginia","2,333","± 856"
"Norfolk city, Virginia","4,188","± 1,124"
"Portsmouth city, Virginia","598","± 350"
"Richmond city, Virginia","7,697","± 1,436"
"Roanoke city, Virginia","2,081","± 980"
"Suffolk city, Virginia","419","± 435"
"Virginia Beach city, Virginia","4,074","± 1,282"
"Auburn city, Washington","1,889","± 1,018"
"Bellevue city, Washington","5,493","± 1,322"
"Bellingham city, Washington","4,541","± 1,352"
"Everett city, Washington","2,819","± 981"
"Federal Way city, Washington","1,456","± 814"
"Kennewick city, Washington","1,663","± 704"
"Kent city, Washington","1,752","± 863"
"Kirkland city, Washington","2,935","± 884"
"Marysville city, Washington","395","± 358"
"Pasco city, Washington","1,091","± 739"
"Redmond city, Washington","1,520","± 724"
"Renton city, Washington","2,931","± 1,069"
"Sammamish city, Washington","74","± 123"
"Seattle city, Washington","45,666","± 4,097"
"South Hill CDP, Washington","256","± 145"
"Spokane city, Washington","6,687","± 1,514"
"Spokane Valley city, Washington","1,725","± 728"
"Tacoma city, Washington","3,713","± 1,131"
"Vancouver city, Washington","2,821","± 944"
"Yakima city, Washington","1,831","± 802"
"Appleton city, Wisconsin","949","± 490"
"Eau Claire city, Wisconsin","1,367","± 654"
"Green Bay city, Wisconsin","2,605","± 960"
"Janesville city, Wisconsin","1,192","± 530"
"Kenosha city, Wisconsin","1,340","± 703"
"Madison city, Wisconsin","16,018","± 2,212"
"Milwaukee city, Wisconsin","17,089","± 1,772"
"Oshkosh city, Wisconsin","1,227","± 538"
"Racine city, Wisconsin","1,702","± 653"
"Waukesha city, Wisconsin","3,365","± 926"
"Cheyenne city, Wyoming","542","± 503"
"Bayamón zona urbana, Puerto Rico","1,212","± 558"
"Caguas zona urbana, Puerto Rico","362","± 257"
"Carolina zona urbana, Puerto Rico","2,264","± 1,063"
"Guaynabo zona urbana, Puerto Rico","1,403","± 583"
"Ponce zona urbana, Puerto Rico","1,107","± 481"
"San Juan zona urbana, Puerto Rico","11,024","± 1,726"
