"Geographic Area Name","Vacant (2024)","MoE"
"Houston city, Texas","127,220","± 6,464"
"Irving city, Texas","10,253","± 2,036"
"Killeen city, Texas","6,280","± 1,388"
"Kyle city, Texas","849","± 728"
"Laredo city, Texas","6,730","± 1,455"
"League City city, Texas","3,064","± 1,295"
"Leander city, Texas","1,040","± 796"
"Lewisville city, Texas","2,016","± 1,052"
"Longview city, Texas","2,079","± 851"
"Lubbock city, Texas","14,642","± 2,488"
"McAllen city, Texas","7,175","± 1,323"
"McKinney city, Texas","3,306","± 1,648"
"Mansfield city, Texas","1,827","± 1,067"
"Mesquite city, Texas","3,361","± 1,109"
"Midland city, Texas","4,226","± 1,547"
"Mission city, Texas","4,949","± 1,400"
"Missouri City city, Texas","2,209","± 1,210"
"New Braunfels city, Texas","4,757","± 1,665"
"North Richland Hills city, Texas","1,262","± 784"
"Odessa city, Texas","1,672","± 904"
"Pasadena city, Texas","3,319","± 946"
"Pearland city, Texas","3,453","± 1,540"
"Pflugerville city, Texas","1,313","± 963"
"Pharr city, Texas","2,633","± 843"
"Plano city, Texas","4,720","± 1,343"
"Richardson city, Texas","1,482","± 788"
"Round Rock city, Texas","4,341","± 1,427"
"Rowlett city, Texas","968","± 753"
"San Angelo city, Texas","2,786","± 1,149"
"San Antonio city, Texas","60,181","± 5,785"
"San Marcos city, Texas","3,330","± 1,211"
"Spring CDP, Texas","1,208","± 786"
"Sugar Land city, Texas","1,577","± 986"
"Temple city, Texas","2,595","± 1,260"
"The Woodlands CDP, Texas","2,254","± 1,139"
"Tyler city, Texas","4,855","± 1,333"
"Victoria city, Texas","3,368","± 1,084"
"Waco city, Texas","5,940","± 1,526"
"Wichita Falls city, Texas","5,473","± 1,218"
"Layton city, Utah","2,311","± 1,198"
"Lehi city, Utah","429","± 547"
"Ogden city, Utah","3,170","± 1,131"
"Orem city, Utah","1,689","± 976"
"Provo city, Utah","1,955","± 931"
"St. George city, Utah","5,825","± 1,672"
"Salt Lake City city, Utah","8,713","± 2,357"
"Sandy city, Utah","991","± 682"
"South Jordan city, Utah","1,011","± 770"
"West Jordan city, Utah","246","± 285"
"West Valley City city, Utah","1,905","± 976"
"Alexandria city, Virginia","2,648","± 1,179"
"Arlington CDP, Virginia","11,316","± 2,441"
"Centreville CDP, Virginia","414","± 402"
"Chesapeake city, Virginia","2,891","± 1,195"
"Dale City CDP, Virginia","761","± 717"
"Hampton city, Virginia","4,608","± 1,241"
"Lynchburg city, Virginia","5,109","± 1,298"
"Newport News city, Virginia","6,050","± 1,712"
"Norfolk city, Virginia","10,967","± 2,004"
"Portsmouth city, Virginia","3,025","± 1,119"
"Reston CDP, Virginia","2,100","± 1,183"
"Richmond city, Virginia","8,521","± 1,946"
"Roanoke city, Virginia","6,483","± 1,840"
"Suffolk city, Virginia","3,159","± 1,067"
