"Geographic Area Name","Total Units (2021)","MoE"
"Lawton city, Oklahoma","40,112","± 915"
"Norman city, Oklahoma","57,307","± 1,962"
"Oklahoma City city, Oklahoma","302,241","± 4,267"
"Tulsa city, Oklahoma","194,402","± 2,135"
"Beaverton city, Oregon","44,099","± 2,575"
"Bend city, Oregon","47,882","± 2,135"
"Eugene city, Oregon","78,322","± 2,592"
"Gresham city, Oregon","46,296","± 2,474"
"Hillsboro city, Oregon","41,432","± 2,288"
"Medford city, Oregon","37,661","± 1,654"
"Portland city, Oregon","303,483","± 3,047"
"Salem city, Oregon","69,247","± 2,352"
"Allentown city, Pennsylvania","51,405","± 2,339"
"Bethlehem city, Pennsylvania","31,754","± 1,814"
"Erie city, Pennsylvania","42,194","± 2,054"
"Philadelphia city, Pennsylvania","733,015","± 2,013"
"Pittsburgh city, Pennsylvania","159,435","± 5,069"
"Reading city, Pennsylvania","34,964","± 1,895"
"Scranton city, Pennsylvania","35,098","± 1,982"
"Cranston city, Rhode Island","34,482","± 2,447"
"Pawtucket city, Rhode Island","32,238","± 1,917"
"Providence city, Rhode Island","78,329","± 2,878"
"Warwick city, Rhode Island","38,375","± 1,769"
"Charleston city, South Carolina","75,367","± 3,370"
"Columbia city, South Carolina","59,270","± 3,009"
"Greenville city, South Carolina","37,958","± 2,111"
"Mount Pleasant town, South Carolina","41,499","± 2,561"
"North Charleston city, South Carolina","56,930","± 2,907"
"Rock Hill city, South Carolina","31,490","± 1,856"
"Rapid City city, South Dakota","34,819","± 1,156"
"Sioux Falls city, South Dakota","86,893","± 1,468"
"Chattanooga city, Tennessee","86,385","± 2,414"
"Clarksville city, Tennessee","68,485","± 1,991"
"Franklin city, Tennessee","34,177","± 1,684"
"Jackson city, Tennessee","29,394","± 1,311"
"Johnson City city, Tennessee","33,824","± 2,380"
"Knoxville city, Tennessee","94,457","± 2,836"
"Memphis city, Tennessee","288,491","± 4,648"
"Murfreesboro city, Tennessee","67,416","± 2,856"
"Nashville-Davidson metropolitan government (balance), Tennessee","331,262","± 1,908"
"Abilene city, Texas","53,099","± 1,405"
"Allen city, Texas","38,372","± 2,185"
"Amarillo city, Texas","89,810","± 2,197"
"Arlington city, Texas","156,653","± 5,087"
"Atascocita CDP, Texas","31,181","± 5,187"
"Austin city, Texas","469,156","± 6,990"
"Baytown city, Texas","30,642","± 2,266"
"Beaumont city, Texas","54,306","± 2,272"
"Brownsville city, Texas","62,000","± 2,740"
"Bryan city, Texas","37,247","± 2,531"
"Carrollton city, Texas","51,894","± 1,904"
"Cedar Park city, Texas","30,710","± 2,262"
"College Station city, Texas","48,960","± 2,613"
"Conroe city, Texas","39,740","± 3,428"
"Corpus Christi city, Texas","137,431","± 2,184"
"Dallas city, Texas","591,773","± 7,965"
"Denton city, Texas","61,038","± 2,802"
"Edinburg city, Texas","39,973","± 2,783"
"El Paso city, Texas","261,779","± 2,871"
"Flower Mound town, Texas","28,382","± 1,496"
"Fort Worth city, Texas","361,341","± 6,713"
"Frisco city, Texas","74,074","± 2,457"
"Garland city, Texas","80,577","± 3,217"
"Georgetown city, Texas","31,605","± 1,987"
"Grand Prairie city, Texas","67,743","± 2,977"
"Harlingen city, Texas","30,752","± 2,490"
"Houston city, Texas","1,028,763","± 10,230"
"Irving city, Texas","100,800","± 3,913"
"Killeen city, Texas","63,491","± 2,683"
"Laredo city, Texas","82,105","± 733"
"League City city, Texas","45,107","± 2,266"
"Leander city, Texas","24,692","± 2,030"
"Lewisville city, Texas","49,094","± 2,707"
"Longview city, Texas","35,008","± 1,562"
"Lubbock city, Texas","113,800","± 2,162"
"McAllen city, Texas","53,023","± 2,929"
"McKinney city, Texas","76,364","± 3,128"
"Mansfield city, Texas","26,120","± 2,146"
"Mesquite city, Texas","55,252","± 3,079"
"Midland city, Texas","56,593","± 2,320"
"Mission city, Texas","32,749","± 2,564"
"Missouri City city, Texas","31,024","± 2,528"
"New Braunfels city, Texas","41,529","± 2,086"
"North Richland Hills city, Texas","27,961","± 1,666"
"Odessa city, Texas","52,217","± 2,529"
"Pasadena city, Texas","54,028","± 2,937"
"Pearland city, Texas","44,576","± 2,946"
"Pflugerville city, Texas","25,056","± 3,626"
"Pharr city, Texas","27,974","± 2,534"
"Plano city, Texas","114,797","± 3,481"
"Richardson city, Texas","47,008","± 2,431"
"Round Rock city, Texas","51,290","± 2,864"
"San Angelo city, Texas","45,230","± 1,234"
"San Antonio city, Texas","603,670","± 6,093"
"San Marcos city, Texas","28,845","± 2,128"
"Spring CDP, Texas","23,562","± 3,271"
"Sugar Land city, Texas","38,412","± 2,301"
"Temple city, Texas","36,878","± 2,367"
"The Woodlands CDP, Texas","47,091","± 4,227"
"Tyler city, Texas","45,728","± 2,173"
"Victoria city, Texas","27,620","± 1,020"
"Waco city, Texas","60,756","± 1,804"
"Wichita Falls city, Texas","42,959","± 1,787"
"Layton city, Utah","28,226","± 1,608"
"Lehi city, Utah","22,854","± 1,404"
"Ogden city, Utah","35,120","± 1,968"
"Orem city, Utah","33,929","± 1,447"
"Provo city, Utah","33,865","± 1,772"
"St. George city, Utah","41,468","± 2,074"
"Salt Lake City city, Utah","99,551","± 3,714"
"Sandy city, Utah","34,406","± 2,108"
"South Jordan city, Utah","25,771","± 1,909"
"West Jordan city, Utah","37,776","± 2,027"
"West Valley City city, Utah","43,083","± 2,053"
"Alexandria city, Virginia","80,350","± 428"
"Arlington CDP, Virginia","119,446","± 525"
"Centreville CDP, Virginia","25,312","± 1,830"
"Chesapeake city, Virginia","96,040","± 563"
"Dale City CDP, Virginia","22,758","± 1,752"
"Hampton city, Virginia","62,528","± 385"
"Lynchburg city, Virginia","34,156","± 747"
"Newport News city, Virginia","81,913","± 1,104"
"Norfolk city, Virginia","102,423","± 1,526"
"Portsmouth city, Virginia","43,306","± 738"
