"Geographic Area Name","1, detached (2024)","MoE"
"Lakewood CDP, New Jersey","5,730","± 1,267"
"Newark city, New Jersey","15,498","± 2,415"
"Passaic city, New Jersey","3,744","± 845"
"Paterson city, New Jersey","8,033","± 1,389"
"Toms River CDP, New Jersey","30,451","± 2,322"
"Trenton city, New Jersey","5,189","± 1,563"
"Union City city, New Jersey","1,350","± 611"
"Albuquerque city, New Mexico","162,207","± 3,981"
"Las Cruces city, New Mexico","31,572","± 2,192"
"Rio Rancho city, New Mexico","38,528","± 1,384"
"Santa Fe city, New Mexico","28,080","± 1,975"
"Albany city, New York","16,058","± 2,073"
"Buffalo city, New York","49,990","± 3,241"
"Cheektowaga CDP, New York","24,081","± 1,964"
"Mount Vernon city, New York","7,334","± 1,363"
"New Rochelle city, New York","14,157","± 1,368"
"New York city, New York","326,708","± 8,911"
"Rochester city, New York","45,899","± 3,381"
"Schenectady city, New York","10,604","± 1,457"
"Syracuse city, New York","28,062","± 2,486"
"Yonkers city, New York","22,026","± 2,147"
"Apex town, North Carolina","19,941","± 1,487"
"Asheville city, North Carolina","29,455","± 2,597"
"Cary town, North Carolina","45,295","± 2,663"
"Charlotte city, North Carolina","206,709","± 6,140"
"Concord city, North Carolina","31,579","± 2,300"
"Durham city, North Carolina","72,632","± 3,463"
"Fayetteville city, North Carolina","58,785","± 2,491"
"Gastonia city, North Carolina","23,719","± 2,044"
"Greensboro city, North Carolina","72,822","± 3,485"
"Greenville city, North Carolina","16,755","± 2,118"
"High Point city, North Carolina","31,203","± 2,716"
"Huntersville town, North Carolina","19,545","± 1,406"
"Jacksonville city, North Carolina","11,790","± 1,571"
"Raleigh city, North Carolina","104,054","± 4,510"
"Wilmington city, North Carolina","34,731","± 2,451"
"Winston-Salem city, North Carolina","71,730","± 3,759"
"Bismarck city, North Dakota","17,768","± 1,738"
"Fargo city, North Dakota","22,710","± 2,027"
"Akron city, Ohio","63,761","± 3,387"
"Canton city, Ohio","22,370","± 1,765"
"Cincinnati city, Ohio","62,190","± 4,012"
"Cleveland city, Ohio","96,047","± 4,182"
"Columbus city, Ohio","192,785","± 6,082"
"Dayton city, Ohio","47,128","± 3,020"
"Lorain city, Ohio","20,272","± 1,837"
"Parma city, Ohio","26,687","± 1,732"
"Toledo city, Ohio","85,748","± 2,922"
"Broken Arrow city, Oklahoma","39,019","± 1,561"
"Edmond city, Oklahoma","33,061","± 1,499"
"Lawton city, Oklahoma","27,095","± 943"
"Norman city, Oklahoma","37,089","± 2,039"
"Oklahoma City city, Oklahoma","212,321","± 4,801"
"Tulsa city, Oklahoma","117,938","± 2,262"
"Beaverton city, Oregon","17,105","± 1,515"
"Bend city, Oregon","34,989","± 2,301"
"Eugene city, Oregon","43,100","± 2,075"
"Gresham city, Oregon","22,330","± 1,918"
"Hillsboro city, Oregon","20,787","± 1,826"
"Medford city, Oregon","22,933","± 2,198"
"Portland city, Oregon","161,773","± 4,090"
"Salem city, Oregon","41,685","± 3,288"
"Allentown city, Pennsylvania","11,764","± 1,688"
"Bethlehem city, Pennsylvania","10,985","± 1,458"
"Erie city, Pennsylvania","26,767","± 1,902"
"Philadelphia city, Pennsylvania","65,148","± 5,459"
"Pittsburgh city, Pennsylvania","72,293","± 3,645"
"Reading city, Pennsylvania","2,905","± 670"
"Scranton city, Pennsylvania","16,696","± 1,657"
"Cranston city, Rhode Island","20,686","± 1,972"
"Pawtucket city, Rhode Island","10,986","± 1,557"
"Providence city, Rhode Island","21,273","± 2,723"
"Warwick city, Rhode Island","25,110","± 2,017"
"Charleston city, South Carolina","38,733","± 3,371"
"Columbia city, South Carolina","29,573","± 3,191"
"Greenville city, South Carolina","15,417","± 1,625"
"Mount Pleasant town, South Carolina","29,635","± 1,813"
"North Charleston city, South Carolina","30,987","± 3,292"
"Rock Hill city, South Carolina","19,994","± 1,901"
"Rapid City city, South Dakota","21,856","± 1,454"
"Sioux Falls city, South Dakota","49,010","± 2,526"
"Chattanooga city, Tennessee","49,141","± 2,977"
"Clarksville city, Tennessee","48,161","± 2,686"
"Franklin city, Tennessee","22,986","± 1,850"
"Jackson city, Tennessee","18,333","± 1,562"
"Johnson City city, Tennessee","17,038","± 1,759"
"Knoxville city, Tennessee","50,045","± 2,941"
"Memphis city, Tennessee","174,213","± 5,001"
"Murfreesboro city, Tennessee","36,737","± 3,155"
"Nashville-Davidson metropolitan government (balance), Tennessee","176,596","± 4,995"
"Abilene city, Texas","38,573","± 2,239"
"Allen city, Texas","29,655","± 2,078"
"Amarillo city, Texas","60,277","± 2,581"
"Arlington city, Texas","89,829","± 3,829"
"Austin city, Texas","212,673","± 6,959"
"Baytown city, Texas","20,628","± 2,155"
"Beaumont city, Texas","35,967","± 2,396"
"Brownsville city, Texas","48,101","± 2,821"
"Bryan city, Texas","21,597","± 1,809"
"Carrollton city, Texas","33,201","± 2,496"
"Cedar Park city, Texas","20,580","± 1,359"
"College Station city, Texas","24,271","± 2,002"
"Conroe city, Texas","28,848","± 2,361"
"Corpus Christi city, Texas","89,294","± 3,107"
"Dallas city, Texas","241,750","± 6,523"
"Denton city, Texas","37,554","± 2,326"
"Edinburg city, Texas","22,604","± 2,130"
"El Paso city, Texas","177,271","± 4,310"
"Flower Mound town, Texas","25,136","± 1,710"
"Fort Worth city, Texas","259,508","± 7,504"
"Frisco city, Texas","57,622","± 2,491"
"Garland city, Texas","54,625","± 3,232"
"Georgetown city, Texas","28,706","± 2,216"
"Grand Prairie city, Texas","44,141","± 3,330"
"Harlingen city, Texas","17,669","± 1,436"
"Houston city, Texas","448,484","± 8,768"
"Irving city, Texas","39,167","± 2,800"
"Killeen city, Texas","40,747","± 2,357"
"Laredo city, Texas","58,251","± 2,532"
"League City city, Texas","38,840","± 1,826"
"Leander city, Texas","25,118","± 1,708"
"Lewisville city, Texas","27,113","± 2,216"
"Longview city, Texas","25,447","± 1,843"
"Lubbock city, Texas","82,129","± 3,270"
"McAllen city, Texas","36,171","± 2,166"
"McKinney city, Texas","61,208","± 3,446"
"Mansfield city, Texas","24,615","± 1,952"
"Mesquite city, Texas","41,579","± 3,318"
"Midland city, Texas","35,484","± 2,635"
"Mission city, Texas","22,150","± 1,793"
"New Braunfels city, Texas","35,354","± 2,495"
"North Richland Hills city, Texas","18,045","± 1,844"
"Odessa city, Texas","36,501","± 3,083"
"Pasadena city, Texas","28,406","± 2,185"
"Pearland city, Texas","37,932","± 2,844"
"Pharr city, Texas","15,602","± 1,789"
"Plano city, Texas","73,397","± 2,798"
"Richardson city, Texas","25,338","± 1,933"
"Round Rock city, Texas","35,687","± 2,633"
"San Angelo city, Texas","29,716","± 1,757"
"San Antonio city, Texas","365,388","± 8,986"
"San Marcos city, Texas","12,265","± 1,691"
"Temple city, Texas","26,392","± 1,713"
"The Woodlands CDP, Texas","39,032","± 3,375"
"Tyler city, Texas","28,079","± 1,837"
"Victoria city, Texas","17,942","± 1,668"
"Waco city, Texas","37,229","± 2,717"
"Wichita Falls city, Texas","30,957","± 1,532"
"Layton city, Utah","20,212","± 1,568"
"Lehi city, Utah","18,088","± 1,212"
"Ogden city, Utah","20,601","± 1,831"
"Orem city, Utah","16,239","± 1,445"
"Provo city, Utah","13,200","± 1,397"
"St. George city, Utah","29,446","± 1,843"
"Salt Lake City city, Utah","43,238","± 2,725"
"Sandy city, Utah","25,699","± 1,889"
"South Jordan city, Utah","17,770","± 1,612"
"West Jordan city, Utah","26,138","± 2,232"
"West Valley City city, Utah","27,326","± 2,033"
"Alexandria city, Virginia","10,350","± 1,282"
"Arlington CDP, Virginia","29,662","± 2,122"
"Centreville CDP, Virginia","7,323","± 1,058"
"Chesapeake city, Virginia","65,507","± 2,726"
"Hampton city, Virginia","39,123","± 1,943"
"Lynchburg city, Virginia","17,478","± 1,342"
"Newport News city, Virginia","41,981","± 2,557"
"Norfolk city, Virginia","48,616","± 2,509"
