City,Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024
"Midland city, Texas","56,593","57,725","52,898","53,499","3,695","4,226","35,209","34,254","17,689","19,245","56,593","57,725","56,593","57,725","37,480","35,484","3,658","4,108","1,338","1,242","4,525","3,415"
"Mission city, Texas","32,749","33,698","28,128","28,749","4,621","4,949","18,452","20,106","9,676","8,643","32,749","33,698","32,749","33,698","23,166","22,150",948,"1,126",278,54,425,"1,655"
"Missouri City city, Texas","31,024","29,265","29,801","27,056","1,223","2,209","22,759","22,786","7,042","4,270","31,024","29,265",,,,,,,,,,
"New Braunfels city, Texas","41,529","51,612","37,815","46,855","3,714","4,757","23,189","29,926","14,626","16,929","41,529","51,612","41,529","51,612","27,774","35,354","2,301","1,535","2,422","2,410","1,953","4,672"
"North Richland Hills city, Texas","27,961","30,249","26,937","28,987","1,024","1,262","16,495","16,057","10,442","12,930","27,961","30,249","27,961","30,249","18,012","18,045","1,462","1,653","1,065",771,"2,093","2,077"
"Odessa city, Texas","52,217","53,957","48,530","52,285","3,687","1,672","29,380","31,640","19,150","20,645","52,217","53,957","52,217","53,957","31,730","36,501","3,511","1,957","1,330","2,904","4,032","3,157"
"Pasadena city, Texas","54,028","51,693","50,598","48,374","3,430","3,319","28,954","26,133","21,644","22,241","54,028","51,693","54,028","51,693","33,444","28,406","3,771","5,364","3,383","4,143","7,591","5,160"
"Pearland city, Texas","44,576","49,496","43,012","46,043","1,564","3,453","31,827","34,323","11,185","11,720","44,576","49,496","44,576","49,496","34,788","37,932","3,139","3,202",462,"1,326","1,211","1,767"
"Pflugerville city, Texas","25,056","26,096","23,875","24,783","1,181","1,313","17,412","17,796","6,463","6,987",,"26,096","25,056",,"19,195",,758,,691,,414,
"Pharr city, Texas","27,974","27,224","24,797","24,591","3,177","2,633","14,397","13,818","10,400","10,773","27,974","27,224","27,974","27,224","17,602","15,602",455,67,171,256,337,369
"Plano city, Texas","114,797","120,096","108,472","115,376","6,325","4,720","60,883","65,561","47,589","49,815","114,797","120,096","114,797","120,096","69,148","73,397","10,398","7,105","3,728","5,031","13,856","16,857"
"Richardson city, Texas","47,008","46,504","45,148","45,022","1,860","1,482","25,448","22,619","19,700","22,403","47,008","46,504","47,008","46,504","28,417","25,338","2,063","2,892","3,013","2,918","7,542","8,771"
"Round Rock city, Texas","51,290","55,692","49,740","51,351","1,550","4,341","26,607","29,231","23,133","22,120","51,290","55,692","51,290","55,692","30,806","35,687","4,066","6,700","6,177","3,739","3,854","4,720"
"San Angelo city, Texas","45,230","44,513","39,065","41,727","6,165","2,786","25,065","22,599","14,000","19,128","45,230","44,513","45,230","44,513","32,318","29,716","1,146","3,460","1,326","1,826","3,311","2,830"
"San Antonio city, Texas","603,670","629,160","549,245","568,979","54,425","60,181","290,123","295,530","259,122","273,449","603,670","629,160","603,670","629,160","364,587","365,388","51,492","55,423","32,766","35,826","39,630","50,306"
"San Marcos city, Texas","28,845","31,896","27,015","28,566","1,830","3,330","6,999","9,108","20,016","19,458","28,845","31,896","28,845","31,896","9,203","12,265","3,675","3,527","4,165","2,132","4,472","4,585"
"Spring CDP, Texas","23,562","26,637","23,096","25,429",466,"1,208","17,372","17,398","5,724","8,031","23,562","26,637",,,,,,,,,,
"Sugar Land city, Texas","38,412","40,891","37,008","39,314","1,404","1,577","30,156","31,318","6,852","7,996","38,412","40,891","38,412",,"33,389",,"1,399",,475,,"1,587",
"Temple city, Texas","36,878","39,824","34,371","37,229","2,507","2,595","18,005","21,648","16,366","15,581","36,878","39,824","36,878","39,824","25,215","26,392","2,271","1,610",769,"1,217","2,865","2,815"
"The Woodlands CDP, Texas","47,091","52,565","43,992","50,311","3,099","2,254","33,234","33,323","10,758","16,988","47,091","52,565","47,091","52,565","34,175","39,032","4,204","2,241","2,208","1,205","3,013","4,612"
"Tyler city, Texas","45,728","45,971","36,169","41,116","9,559","4,855","19,913","21,627","16,256","19,489","45,728","45,971","45,728","45,971","26,944","28,079","3,485","2,209","1,908","2,697","1,487","4,298"
"Victoria city, Texas","27,620","31,143","25,410","27,775","2,210","3,368","13,992","14,329","11,418","13,446","27,620","31,143","27,620","31,143","17,816","17,942",927,"2,094",990,613,473,"1,827"
"Waco city, Texas","60,756","62,409","53,286","56,469","7,470","5,940","26,055","26,899","27,231","29,570","60,756","62,409","60,756","62,409","35,590","37,229","6,233","4,380","2,465","3,245","3,563","4,722"
"Wichita Falls city, Texas","42,959","43,762","38,051","38,289","4,908","5,473","21,943","21,615","16,108","16,674","42,959","43,762","42,959","43,762","30,944","30,957","1,792","1,021",515,491,"1,738","3,049"
"Layton city, Utah","28,226","29,476","27,176","27,165","1,050","2,311","18,996","20,141","8,180","7,024","28,226","29,476","28,226","29,476","19,088","20,212","1,993","1,121","1,661",586,758,"2,183"
"Lehi city, Utah","22,854","26,071","22,067","25,642",787,429,"17,065","19,184","5,002","6,458","22,854","26,071","22,854","26,071","17,305","18,088",753,631,219,283,226,236
"Ogden city, Utah","35,120","36,569","32,631","33,399","2,489","3,170","20,013","20,579","12,618","12,820","35,120","36,569","35,120","36,569","21,989","20,601","1,521","1,917","1,571","2,009","1,590","2,249"
"Orem city, Utah","33,929","32,175","32,398","30,486","1,531","1,689","19,808","17,844","12,590","12,642","33,929","32,175","33,929","32,175","18,585","16,239","1,612","2,434",857,"1,413","1,102","3,020"
"Provo city, Utah","33,865","36,878","32,518","34,923","1,347","1,955","12,193","13,099","20,325","21,824","33,865","36,878","33,865","36,878","13,736","13,200","4,138","5,362","2,600","3,300","1,846","2,463"
"St. George city, Utah","41,468","44,385","35,656","38,560","5,812","5,825","22,579","24,906","13,077","13,654","41,468","44,385","41,468","44,385","26,372","29,446","1,459","1,454","1,776",910,"1,282","2,197"
"Salt Lake City city, Utah","99,551","107,629","89,839","98,916","9,712","8,713","42,681","43,623","47,158","55,293","99,551","107,629","99,551","107,629","46,101","43,238","5,907","5,271","10,734","8,860","17,626","26,782"
"Sandy city, Utah","34,406","35,950","33,587","34,959",819,991,"25,988","26,365","7,599","8,594","34,406","35,950","34,406","35,950","25,218","25,699",788,"1,890","1,337","1,290","2,217","2,533"
"South Jordan city, Utah","25,771","25,959","25,502","24,948",269,"1,011","20,911","19,383","4,591","5,565","25,771","25,959",,"25,959",,"17,770",,451,,393,,"2,068"
"West Jordan city, Utah","37,776","38,619","36,309","38,373","1,467",246,"27,491","28,967","8,818","9,406","37,776","38,619","37,776","38,619","25,643","26,138","1,801","2,066","1,394","1,411","1,455","2,317"
"West Valley City city, Utah","43,083","42,751","42,003","40,846","1,080","1,905","29,620","30,178","12,383","10,668","43,083","42,751","43,083","42,751","28,331","27,326",648,"1,558","1,971",748,"1,390","1,571"
"Alexandria city, Virginia","80,350","81,544","72,024","78,896","8,326","2,648","31,137","34,067","40,887","44,829","80,350","81,544","80,350","81,544","10,811","10,350","10,890","9,905","4,214","4,326","28,805","29,580"
"Arlington CDP, Virginia","119,446","124,878","108,396","113,562","11,050","11,316","47,577","44,057","60,819","69,505","119,446","124,878","119,446","124,878","29,948","29,662","5,971","6,729","5,476","4,384","55,028","57,540"
"Centreville CDP, Virginia","25,312","24,582","24,957","24,168",355,414,"18,513","16,632","6,444","7,536","25,312","24,582","25,312","24,582","9,110","7,323","1,890","2,270",271,370,"1,183",773
"Chesapeake city, Virginia","96,040","98,231","93,849","95,340","2,191","2,891","69,186","68,844","24,663","26,496","96,040","98,231","96,040","98,231","66,857","65,507","3,504","2,854","2,393","1,618","2,610","2,997"
"Dale City CDP, Virginia","22,758","22,012","22,465","21,251",293,761,"18,463","16,992","4,002","4,259","22,758","22,012",,,,,,,,,,
"Hampton city, Virginia","62,528","62,569","58,181","57,961","4,347","4,608","31,662","32,941","26,519","25,020","62,528","62,569","62,528","62,569","40,481","39,123","4,823","4,227",737,"2,579","2,593","1,832"
"Lynchburg city, Virginia","34,156","34,496","28,346","29,387","5,810","5,109","14,756","14,968","13,590","14,419","34,156","34,496","34,156","34,496","19,860","17,478","3,648","3,193","1,806","2,461","1,052","2,107"
"Newport News city, Virginia","81,913","82,561","77,489","76,511","4,424","6,050","36,527","38,133","40,962","38,378","81,913","82,561","81,913","82,561","40,116","41,981","8,575","5,194","2,333","2,552","5,015","4,096"
"Norfolk city, Virginia","102,423","105,559","97,596","94,592","4,827","10,967","44,867","41,579","52,729","53,013","102,423","105,559","102,423","105,559","49,325","48,616","6,112","6,119","4,188","5,256","8,436","11,172"
"Portsmouth city, Virginia","43,306","43,313","40,827","40,288","2,479","3,025","22,918","25,632","17,909","14,656","43,306","43,313","43,306","43,313","26,676","27,103","1,281","1,813",598,"1,371","1,687","2,172"
"Richmond city, Virginia","112,806","117,511","99,929","108,990","12,877","8,521","44,985","46,084","54,944","62,906","112,806","117,511","112,806","117,511","52,249","48,860","7,050","7,187","7,697","9,679","14,275","18,641"
"Roanoke city, Virginia","48,912","49,307","42,455","42,824","6,457","6,483","21,998","21,929","20,457","20,895","48,912","49,307","48,912","49,307","28,910","30,940","5,056","3,978","2,081","1,710","2,128","2,425"
"Suffolk city, Virginia","39,558","42,088","37,383","38,929","2,175","3,159","26,651","28,577","10,732","10,352","39,558","42,088","39,558","42,088","29,362","29,328","1,893","1,598",419,883,"1,224","2,177"
"Virginia Beach city, Virginia","190,981","192,239","182,775","179,761","8,206","12,478","119,144","113,353","63,631","66,408","190,981","192,239","190,981","192,239","101,694","100,297","8,522","10,035","4,074","3,526","10,278","11,919"
"Auburn city, Washington","32,420","32,597","31,836","31,425",584,"1,172","18,795","18,480","13,041","12,945","32,420","32,597","32,420","32,597","16,311","16,991","1,603","1,283","1,889","2,084","2,749","3,060"
"Bellevue city, Washington","65,120","69,039","61,440","64,512","3,680","4,527","32,296","31,525","29,144","32,987","65,120","69,039","65,120","69,039","30,888","29,833","3,823","3,363","5,493","5,499","13,526","14,569"
"Bellingham city, Washington","42,715","44,877","40,653","42,710","2,062","2,167","16,600","19,876","24,053","22,834","42,715","44,877","42,715","44,877","18,726","20,542","4,176","4,648","4,541","4,945","4,261","3,937"
"Everett city, Washington","48,306","48,847","45,029","46,565","3,277","2,282","21,308","21,890","23,721","24,675","48,306","48,847","48,306","48,847","20,461","22,307","4,524","3,820","2,819","4,091","5,345","4,968"
"Federal Way city, Washington","36,274","36,380","35,047","35,191","1,227","1,189","19,653","18,617","15,394","16,574","36,274","36,380","36,274","36,380","18,819","18,754","3,223","4,736","1,456","1,518","2,228","3,008"
"Kennewick city, Washington","32,119","35,463","30,679","33,463","1,440","2,000","17,204","19,284","13,475","14,179","32,119","35,463","32,119","35,463","18,166","19,258","2,040","1,113","1,663","1,467","1,703","2,368"
"Kent city, Washington","47,926","49,952","46,036","46,607","1,890","3,345","26,144","27,421","19,892","19,186","47,926","49,952","47,926","49,952","25,404","27,330","5,858","4,470","1,752","2,555","3,563","6,352"
"Kirkland city, Washington","39,301","41,910","37,746","39,381","1,555","2,529","22,848","22,378","14,898","17,003","39,301","41,910","39,301","41,910","21,666","20,966","2,850","4,868","2,935","2,344","4,363","6,121"
"Marysville city, Washington","26,570","26,235","25,906","25,723",664,512,"18,870","17,637","7,036","8,086","26,570","26,235","26,570","26,235","19,795","18,284",863,"1,435",395,874,928,359
"Pasco city, Washington","26,216","27,294","25,084","26,295","1,132",999,"18,630","17,742","6,454","8,553","26,216","27,294","26,216","27,294","19,720","20,049",140,"1,905","1,091",901,633,293
"Redmond city, Washington","32,682","38,240","31,181","35,838","1,501","2,402","12,895","14,395","18,286","21,443","32,682","38,240","32,682","38,240","12,007","12,850",867,"3,066","1,520","2,306","9,318","11,892"
"Renton city, Washington","44,115","41,337","41,997","39,953","2,118","1,384","21,560","22,366","20,437","17,587","44,115","41,337","44,115","41,337","22,082","21,271","3,186","3,527","2,931","1,983","4,983","6,277"
"Sammamish city, Washington","22,708","21,331","22,090","20,804",618,527,"18,391","16,653","3,699","4,151","22,708","21,331","22,708","21,331","19,521","17,015",625,836,74,101,485,569
"Seattle city, Washington","384,799","411,671","351,650","383,698","33,149","27,973","161,587","160,860","190,063","222,838","384,799","411,671","384,799","411,671","152,342","143,530","26,934","31,371","45,666","53,238","93,808","115,785"
"South Hill CDP, Washington","23,231","25,614","22,379","25,104",852,510,"17,748","16,352","4,631","8,752","23,231","25,614","23,231","25,614","17,747","17,864",657,"1,972",256,"1,098",735,917
"Spokane city, Washington","99,251","104,627","94,748","99,109","4,503","5,518","54,499","59,065","40,249","40,044","99,251","104,627","99,251","104,627","62,676","67,440","6,410","5,070","6,687","6,222","6,720","6,783"
"Spokane Valley city, Washington","47,204","46,217","44,047","43,705","3,157","2,512","25,467","26,760","18,580","16,945","47,204","46,217","47,204","46,217","28,079","27,604","3,744","3,519","1,725","2,093","4,023","2,869"
"Tacoma city, Washington","92,516","100,348","88,819","95,835","3,697","4,513","51,156","52,332","37,663","43,503","92,516","100,348","92,516","100,348","59,783","58,559","4,171","7,393","3,713","8,664","10,177","10,243"
"Vancouver city, Washington","86,065","89,916","81,814","85,374","4,251","4,542","41,484","44,748","40,330","40,626","86,065","89,916","86,065","89,916","45,157","45,209","2,812","4,893","2,821","3,126","9,897","14,468"
"Yakima city, Washington","38,297","39,468","37,282","37,840","1,015","1,628","20,569","18,990","16,713","18,850","38,297","39,468","38,297","39,468","23,709","22,473",932,"1,728","1,831","1,591","1,313","1,365"
"Appleton city, Wisconsin","30,519","31,280","29,204","29,624","1,315","1,656","19,467","20,110","9,737","9,514","30,519","31,280","30,519","31,280","20,225","20,789","1,325","2,357",949,916,"1,086",940
"Eau Claire city, Wisconsin","28,762","33,563","28,218","32,784",544,779,"15,959","16,226","12,259","16,558","28,762","33,563","28,762","33,563","15,834","17,025",289,"2,258","1,367","1,127","1,381","1,105"
"Green Bay city, Wisconsin","48,574","44,341","46,857","41,209","1,717","3,132","27,157","25,736","19,700","15,473","48,574","44,341","48,574","44,341","28,275","26,209","1,873","2,089","2,605","1,794","1,847","2,076"
"Janesville city, Wisconsin","28,831","30,223","28,236","29,204",595,"1,019","18,923","20,012","9,313","9,192","28,831","30,223","28,831","30,223","19,210","19,759",845,713,"1,192","1,376",829,591
"Kenosha city, Wisconsin","40,437","42,300","38,438","41,282","1,999","1,018","22,624","23,937","15,814","17,345","40,437","42,300","40,437","42,300","25,747","24,257","1,664","1,892","1,340","2,542","1,697","1,571"
"Madison city, Wisconsin","129,717","141,476","123,938","133,564","5,779","7,912","60,243","58,600","63,695","74,964","129,717","141,476","129,717","141,476","53,814","54,615","6,736","10,364","16,018","17,844","19,956","26,437"
"Milwaukee city, Wisconsin","257,812","260,386","232,362","235,240","25,450","25,146","96,044","102,128","136,318","133,112","257,812","260,386","257,812","260,386","100,228","102,065","10,529","10,326","17,089","20,026","24,500","27,044"
"Oshkosh city, Wisconsin","29,501","30,347","28,532","29,093",969,"1,254","15,139","16,694","13,393","12,399","29,501","30,347","29,501","30,347","16,406","17,385","2,506","2,250","1,227",649,"1,206","2,275"
"Racine city, Wisconsin","34,630","35,629","30,885","33,149","3,745","2,480","16,315","20,080","14,570","13,069","34,630","35,629","34,630","35,629","22,975","24,582","1,034","1,534","1,702","1,591","1,481","1,549"
"Waukesha city, Wisconsin","31,815","31,107","31,139","30,382",676,725,"18,489","17,955","12,650","12,427","31,815","31,107","31,815","31,107","15,289","16,104","2,218","1,653","3,365","3,454","2,350","1,963"
"Cheyenne city, Wyoming","29,060","31,337","28,727","30,677",333,660,"17,908","19,100","10,819","11,577","29,060","31,337","29,060","31,337","18,113","19,421",605,469,542,"1,256",829,533
"Bayamón zona urbana, Puerto Rico","76,084","81,144","61,688","68,050","14,396","13,094","42,641","48,304","19,047","19,746","76,084","81,144","76,084","81,144","46,749","48,160","2,893","3,619","1,212","1,491","3,601","4,433"
"Caguas zona urbana, Puerto Rico","35,851","38,750","29,970","27,112","5,881","11,638","17,965","16,102","12,005","11,010","35,851","38,750","35,851","38,750","20,134","21,693","1,808","1,833",362,"1,325",907,"1,915"
"Carolina zona urbana, Puerto Rico","68,134","72,721","54,012","56,857","14,122","15,864","35,384","36,928","18,628","19,929","68,134","72,721","68,134","72,721","31,086","32,587","5,042","4,477","2,264","2,512","8,559","10,274"
"Guaynabo zona urbana, Puerto Rico","31,709","31,935","26,979","27,405","4,730","4,530","20,281","21,806","6,698","5,599","31,709","31,935","31,709","31,935","16,915","16,327","2,064",612,"1,403","1,572","4,255","6,101"
"Ponce zona urbana, Puerto Rico","55,535","57,739","42,404","46,634","13,131","11,105","29,128","30,634","13,276","16,000","55,535","57,739","55,535","57,739","39,333","39,282","3,520","4,064","1,107","1,831","1,379","1,458"
"San Juan zona urbana, Puerto Rico","174,398","191,180","129,554","138,716","44,844","52,464","66,489","75,586","63,065","63,130","174,398","191,180","174,398","191,180","67,088","70,556","17,005","15,665","11,024","8,236","29,437","38,701"
