"Region","Public administration","MoE"
"Salisbury, MD Metro Area","1,807","± 381"
"Salt Lake City-Murray, UT Metro Area","13,414","± 1,016"
"San Angelo, TX Metro Area","3,050","± 501"
"San Antonio-New Braunfels, TX Metro Area","35,749","± 1,736"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","45,830","± 2,097"
"Sandusky, OH Metro Area","1,272","± 247"
"San Francisco-Oakland-Fremont, CA Metro Area","46,122","± 1,731"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","12,281","± 907"
"San Juan-Bayamón-Caguas, PR Metro Area","28,286","± 1,271"
"San Luis Obispo-Paso Robles, CA Metro Area","4,380","± 563"
"Santa Cruz-Watsonville, CA Metro Area","2,836","± 373"
"Santa Fe, NM Metro Area","3,346","± 473"
"Santa Maria-Santa Barbara, CA Metro Area","4,335","± 568"
"Santa Rosa-Petaluma, CA Metro Area","5,830","± 698"
"Savannah, GA Metro Area","5,539","± 659"
"Scranton--Wilkes-Barre, PA Metro Area","8,400","± 714"
"Seattle-Tacoma-Bellevue, WA Metro Area","41,972","± 1,680"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","1,530","± 364"
"Sebring, FL Metro Area","1,380","± 437"
"Sheboygan, WI Metro Area","667","± 177"
"Sherman-Denison, TX Metro Area","1,776","± 402"
"Shreveport-Bossier City, LA Metro Area","5,315","± 779"
"Sierra Vista-Douglas, AZ Metro Area","4,197","± 514"
"Sioux City, IA-NE-SD Metro Area","1,193","± 267"
"Sioux Falls, SD-MN Metro Area","2,733","± 329"
"Slidell-Mandeville-Covington, LA Metro Area","3,514","± 447"
"South Bend-Mishawaka, IN-MI Metro Area","2,337","± 312"
"Spartanburg, SC Metro Area","2,652","± 540"
"Spokane-Spokane Valley, WA Metro Area","7,234","± 616"
"Springfield, IL Metro Area","6,844","± 588"
"Springfield, MA Metro Area","6,471","± 639"
"Springfield, MO Metro Area","4,003","± 503"
"Springfield, OH Metro Area","1,841","± 333"
"State College, PA Metro Area","1,589","± 236"
"Staunton-Stuarts Draft, VA Metro Area","1,383","± 303"
"Stockton-Lodi, CA Metro Area","8,712","± 836"
"Sumter, SC Metro Area","1,342","± 319"
"Syracuse, NY Metro Area","7,027","± 606"
"Tallahassee, FL Metro Area","12,444","± 789"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","33,724","± 1,846"
"Terre Haute, IN Metro Area","2,141","± 296"
"Texarkana, TX-AR Metro Area","2,381","± 411"
"Toledo, OH Metro Area","5,334","± 629"
"Topeka, KS Metro Area","4,780","± 491"
"Traverse City, MI Metro Area","1,244","± 258"
"Trenton-Princeton, NJ Metro Area","5,270","± 694"
"Tucson, AZ Metro Area","16,986","± 1,221"
