"Geographic Area Name","Median value (2024)","MoE"
"Cleveland city, Ohio","109,600","± 4,129"
"Columbus city, Ohio","279,900","± 6,524"
"Dayton city, Ohio","117,500","± 17,667"
"Lorain city, Ohio","152,500","± 9,867"
"Parma city, Ohio","193,500","± 5,985"
"Toledo city, Ohio","122,600","± 5,488"
"Broken Arrow city, Oklahoma","278,700","± 6,506"
"Edmond city, Oklahoma","376,800","± 24,108"
"Lawton city, Oklahoma","148,700","± 8,881"
"Norman city, Oklahoma","276,800","± 16,694"
"Oklahoma City city, Oklahoma","259,300","± 6,483"
"Tulsa city, Oklahoma","234,400","± 5,889"
"Beaverton city, Oregon","586,900","± 23,153"
"Bend city, Oregon","744,800","± 28,633"
"Eugene city, Oregon","471,000","± 13,702"
"Gresham city, Oregon","459,000","± 9,311"
"Hillsboro city, Oregon","561,400","± 19,045"
"Medford city, Oregon","430,100","± 18,185"
"Portland city, Oregon","588,200","± 11,523"
"Salem city, Oregon","433,000","± 13,671"
"Allentown city, Pennsylvania","242,400","± 14,814"
"Bethlehem city, Pennsylvania","289,200","± 12,721"
"Erie city, Pennsylvania","135,200","± 9,027"
"Philadelphia city, Pennsylvania","253,600","± 6,236"
"Pittsburgh city, Pennsylvania","220,400","± 13,914"
"Reading city, Pennsylvania","157,200","± 9,232"
"Scranton city, Pennsylvania","177,500","± 12,421"
"Cranston city, Rhode Island","415,200","± 17,637"
"Pawtucket city, Rhode Island","363,900","± 12,074"
"Providence city, Rhode Island","413,800","± 29,941"
"Warwick city, Rhode Island","389,100","± 15,218"
"Charleston city, South Carolina","600,300","± 33,888"
"Columbia city, South Carolina","287,600","± 29,473"
"Greenville city, South Carolina","553,700","± 65,180"
"Mount Pleasant town, South Carolina","895,700","± 38,423"
"North Charleston city, South Carolina","347,200","± 24,538"
"Rock Hill city, South Carolina","306,800","± 23,331"
"Rapid City city, South Dakota","344,200","± 21,392"
"Sioux Falls city, South Dakota","332,600","± 12,235"
"Chattanooga city, Tennessee","323,700","± 17,101"
"Clarksville city, Tennessee","307,300","± 12,085"
"Franklin city, Tennessee","789,100","± 49,906"
"Jackson city, Tennessee","242,500","± 29,748"
"Johnson City city, Tennessee","297,400","± 19,066"
"Knoxville city, Tennessee","294,700","± 17,447"
"Memphis city, Tennessee","209,800","± 10,746"
"Murfreesboro city, Tennessee","456,700","± 18,982"
"Nashville-Davidson metropolitan government (balance), Tennessee","438,800","± 10,667"
"Abilene city, Texas","185,900","± 15,669"
"Allen city, Texas","523,100","± 33,313"
"Amarillo city, Texas","213,900","± 9,027"
"Arlington city, Texas","337,800","± 7,201"
"Atascocita CDP, Texas","338,500","± 18,657"
"Austin city, Texas","571,000","± 17,220"
"Baytown city, Texas","218,600","± 28,001"
"Beaumont city, Texas","173,200","± 17,808"
"Brownsville city, Texas","176,300","± 11,668"
"Bryan city, Texas","255,700","± 12,809"
"Carrollton city, Texas","420,800","± 20,209"
"Cedar Park city, Texas","569,500","± 36,503"
"College Station city, Texas","375,800","± 18,171"
"Conroe city, Texas","316,400","± 24,062"
"Corpus Christi city, Texas","234,000","± 10,189"
"Dallas city, Texas","340,400","± 11,363"
"Denton city, Texas","379,900","± 18,264"
"Edinburg city, Texas","223,900","± 17,184"
"El Paso city, Texas","209,600","± 5,618"
"Flower Mound town, Texas","627,100","± 22,233"
"Fort Worth city, Texas","330,500","± 6,356"
"Frisco city, Texas","735,300","± 32,653"
"Garland city, Texas","298,200","± 10,210"
"Georgetown city, Texas","432,300","± 17,907"
"Grand Prairie city, Texas","322,900","± 16,051"
"Harlingen city, Texas","153,200","± 17,908"
"Houston city, Texas","301,200","± 7,063"
"Irving city, Texas","349,800","± 20,770"
"Killeen city, Texas","239,200","± 9,221"
"Kyle city, Texas","350,500","± 13,151"
"Laredo city, Texas","210,100","± 13,658"
"League City city, Texas","379,100","± 10,188"
"Leander city, Texas","569,600","± 34,587"
"Lewisville city, Texas","413,300","± 22,100"
"Longview city, Texas","224,700","± 15,994"
"Lubbock city, Texas","223,600","± 7,943"
"McAllen city, Texas","218,500","± 12,493"
"McKinney city, Texas","555,800","± 20,726"
"Mansfield city, Texas","482,300","± 32,900"
"Mesquite city, Texas","267,000","± 10,932"
"Midland city, Texas","324,300","± 19,370"
"Mission city, Texas","207,800","± 19,440"
"Missouri City city, Texas","322,200","± 16,627"
"New Braunfels city, Texas","364,500","± 14,335"
"North Richland Hills city, Texas","398,500","± 22,493"
"Odessa city, Texas","243,600","± 18,720"
"Pasadena city, Texas","220,000","± 9,593"
"Pearland city, Texas","376,400","± 10,902"
"Pflugerville city, Texas","424,600","± 17,893"
"Pharr city, Texas","154,800","± 14,101"
"Plano city, Texas","541,700","± 16,995"
"Richardson city, Texas","460,500","± 15,910"
"Round Rock city, Texas","442,700","± 19,362"
"Rowlett city, Texas","392,200","± 19,403"
"San Angelo city, Texas","222,600","± 20,901"
"San Antonio city, Texas","260,900","± 5,385"
"San Marcos city, Texas","364,600","± 34,616"
"Spring CDP, Texas","240,900","± 11,304"
"Sugar Land city, Texas","472,000","± 16,894"
"Temple city, Texas","268,200","± 12,636"
"The Woodlands CDP, Texas","616,700","± 41,126"
"Tyler city, Texas","262,800","± 21,699"
"Victoria city, Texas","213,800","± 24,920"
"Waco city, Texas","256,300","± 13,501"
