"Geographic Area Name","Median household income","MoE"
"Sandy city, Utah","100,153","± 5,822"
"South Jordan city, Utah","104,170","± 7,926"
"West Jordan city, Utah","86,252","± 4,674"
"West Valley City city, Utah","74,348","± 5,046"
"Alexandria city, Virginia","101,162","± 5,048"
"Arlington CDP, Virginia","125,651","± 5,333"
"Centreville CDP, Virginia","113,518","± 10,432"
"Chesapeake city, Virginia","88,815","± 5,808"
"Dale City CDP, Virginia","107,272","± 11,127"
"Hampton city, Virginia","57,647","± 4,671"
"Lynchburg city, Virginia","56,110","± 9,531"
"Newport News city, Virginia","58,937","± 3,779"
"Norfolk city, Virginia","58,591","± 3,379"
"Portsmouth city, Virginia","54,429","± 5,022"
